id_product,name_product,url_product,brand,actual_price_item,old_price_item
226200,"Сыр Киприно Маасдам полутвердый 45%, 200г",https://online.metro-cc.ru/products/200g-syr-maasdam-45-kiprino-kusok-bzmzh,КИПРИНО,289,259
116701,"METRO Chef Сыр Рикотта 45%, 500г",https://online.metro-cc.ru/products/500g-syr-45-metro-chef-rikotta-bzmzh,METRO CHEF,284,269
211829,"Сыр Bonfesto творожный 70%, 400г",https://online.metro-cc.ru/products/400g-syr-tvorozhnyy-70-bonfesto-bzmzh,BONFESTO,284,267
222933,"Сыр Ларец вкус топленого молока золотой 50%, 245г",https://online.metro-cc.ru/products/245g-syr-50-larets-zolotoy-vkus-toplyonogo-molok-bzmzh,ЛАРЕЦ,279,319
122606,"Сыр Cheese Gallery Эмменталер кусок 45%, 180г",https://online.metro-cc.ru/products/180g-45-sneese-gallery-emment-kus-bzmzh,CHEESE GALLERY,279,279
483601,"Сыр Galbani Буррата mini мягкий 50%, 125г",https://online.metro-cc.ru/products/burrata-galbani-mini-125g-bzmzh,GALBANI,279,339
134940,"Сыр плавленый Hochland сливочный 55%, 400г",https://online.metro-cc.ru/products/plavlennyj-hochland-slivochnyj-55-400g-bzmzh,HOCHLAND,279,289
390227,"Сыр Ламбер полутвердый 50%, 230г",https://online.metro-cc.ru/products/lamber-50230g-bzmzh,ЛАМБЕР,276,269
222931,"Сыр Ларец с грецкими орехами кусок 50%, 245г",https://online.metro-cc.ru/products/245g-syr-50-larets-s-gretskimi-orehami-kusok-bzmzh,ЛАРЕЦ,269,329
584285,"Сыр Bonfesto Рикотта 40%, 500г",https://online.metro-cc.ru/products/rikotta-bonfesto-40-500g-bzmzh,BONFESTO,269,269
231174,"METRO Chef Сыр алтайский 50%, 200г",https://online.metro-cc.ru/products/metro-chef-syr-altayskiy-50-200g,METRO CHEF,269,269
204097,"Сыр Laplandia сливочный нарезка 45%, 250г",https://online.metro-cc.ru/products/250g-syr-45-laplandia-slivochnyy-narezka-bzmzh,LAPLANDIA,269,409
511294,"Сыр Bonfesto Моцарелла для пиццы 40%, 250г",https://online.metro-cc.ru/products/mocarella-bonfesto-dlya-piccy-45-250g-bzmzh,BONFESTO,267,267
205852,"Сыр Burenka Club Ильфранс 50%, 120г",https://online.metro-cc.ru/products/120g-syr-50-burenkaclub-ilfrans-bzmzh,BURENKA CLUB,266,259
129716,"Сыр Whitecheese from Zhukovka Камамбер 50%, 125г",https://online.metro-cc.ru/products/125g-kamamber-50-zhukovka-bzmzh,WHITECHEESE FROM ZHUKOVKA,266,249
63743,"Сыр Schonfeld Блю с голубой плесенью 54%, 100г",https://online.metro-cc.ru/products/schonfeld-s-goluboj-blue-100-g,SCHONFELD,265,269
205852,"Сыр Burenka Club Ильфранс 50%, 120г",https://online.metro-cc.ru/products/120g-syr-50-burenkaclub-ilfrans-bzmzh,BURENKA CLUB,266,259
129716,"Сыр Whitecheese from Zhukovka Камамбер 50%, 125г",https://online.metro-cc.ru/products/125g-kamamber-50-zhukovka-bzmzh,WHITECHEESE FROM ZHUKOVKA,266,249
63743,"Сыр Schonfeld Блю с голубой плесенью 54%, 100г",https://online.metro-cc.ru/products/schonfeld-s-goluboj-blue-100-g,SCHONFELD,265,269
